0	41	-82	41	0	0	17	-74	56	0	
-3	40	-82	42	3	-3	18	-76	58	3	
-6	39	-81	42	6	-6	23	-84	60	6	
-8	38	-80	42	8	-8	31	-93	62	8	
-9	36	-79	43	9	-10	39	-100	61	10	
-10	35	-79	44	10	-11	46	-103	57	11	
-9	33	-79	45	9	-10	51	-102	51	10	
-8	31	-79	48	8	-8	52	-97	44	8	
-6	28	-79	50	6	-6	50	-90	39	6	
-3	24	-77	53	3	-3	46	-84	38	3	
0	17	-74	56	0	0	41	-82	41	0	
0	37	-82	45	0	0	45	-82	37	0	
3	38	-84	46	-3	3	45	-82	37	-3	
6	42	-90	48	-6	6	44	-81	37	-6	
8	48	-97	48	-8	8	43	-80	37	-8	
10	55	-102	47	-10	9	42	-79	38	-9	
11	60	-103	43	-11	10	41	-79	39	-10	
10	62	-100	38	-10	9	40	-80	40	-9	
8	61	-93	33	-8	8	38	-80	42	-8	
6	58	-86	29	-6	6	37	-81	44	-6	
0	52	-79	26	0	0	34	-81	47	0	
0	56	-74	18	0	0	40	-82	42	0	
