0	41	-82	41	0	0	21	-76	55	0	
-3	40	-82	42	3	-3	22	-78	56	3	
-6	39	-81	42	6	-6	27	-85	59	6	
-8	38	-80	42	8	-8	33	-94	60	8	
-9	37	-79	42	9	-10	41	-101	60	10	
-10	36	-79	43	10	-11	47	-104	57	11	
-9	34	-79	45	9	-10	51	-102	51	10	
-8	32	-79	47	8	-8	52	-97	45	8	
-6	30	-79	49	6	-6	50	-90	40	6	
-3	26	-78	52	3	-3	46	-84	38	3	
0	21	-76	55	0	0	41	-82	41	0	
3	22	-78	56	-3	3	40	-82	42	-3	
6	27	-85	59	-6	6	39	-81	42	-6	
8	33	-94	60	-8	8	38	-80	42	-8	
10	41	-101	60	-10	9	37	-79	42	-9	
11	47	-104	57	-11	10	36	-79	43	-10	
10	51	-102	51	-10	9	34	-79	45	-9	
8	52	-97	45	-8	8	32	-79	47	-8	
6	50	-90	40	-6	6	30	-79	49	-6	
3	46	-84	38	-3	3	26	-78	52	-3	
